Client,regnr,Marke,Fordonsslag,Fordonsstatus,Karosserikod,Arsmodell,TotalVikt,Egenklass,Motoreffekt,Handelsbet,Karossny,api_matched,UW_Kategori,classification_method,classification_confidence,classification_reasoning
Client - 15,REGNR2155,RENAULT VB,LB,ITRAFIK,Lastbil,2013.0,,Lätt lastbil,1100,MASTER,Lastbil,True,Lätt lastbil,rule_based,,
Client - 15,REGNR2156,RENAULT VB,LB,ITRAFIK,Lastbil,2013.0,,Lätt lastbil,1100,MASTER,Lastbil,True,Lätt lastbil,rule_based,,
Client - 15,REGNR2157,BR FRANSSON FRANS-COMBI,SLÄP,ITRAFIK,Brandfordon,1971.0,,Lätt släp,,,Brandfordon,True,Släp,rule_based,,
Client - 15,REGNR2158,VOLVO FL10 4X2,LB,ITRAFIK,Brandfordon,1991.0,,Brandbil,2100,,Brandfordon,True,Brandfordon,rule_based,,
Client - 15,REGNR2159,"VW PICKUP DH 2,5 AUT",LB,ITRAFIK,Brandfordon,2007.0,,Brandbil lätt,1280,,Brandfordon,True,Lätt brandfordon,rule_based,,
Client - 15,REGNR2160,VALERYD SLÄPET,SLÄP,ITRAFIK,Brandfordon,1999.0,,Lätt släp,,,Brandfordon,True,Släp,rule_based,,
Client - 15,REGNR2161,"VOLKSWAGEN, VW",LB,ITRAFIK,Lastbil,2023.0,,Brandbil lätt,1100,TRANSPORTER,Lastbil,True,Lätt brandfordon,rule_based,,
Client - 15,REGNR2162,SCANIA P94GB4X2NZ310,LB,ITRAFIK,Brandfordon,1997.0,,Brandbil,2280,,Brandfordon,True,Brandfordon,rule_based,,
Client - 15,REGNR2163,YAMAHA,TGHJUL,ITRAFIK,,2022.0,,???,340,YFM700 GRIZZ EPS,,False,Släp,ml_model,0.966,LogReg: Släp (97%)
Client - 15,REGNR2164,VOLVO FL10 4X2,LB,ITRAFIK,Brandfordon,1996.0,,Brandbil,2350,,Brandfordon,True,Brandfordon,rule_based,,
Client - 15,REGNR2165,FOBO 1000,SLÄP,ITRAFIK,Brandfordon,1986.0,,Släp,,,Brandfordon,True,Släp,rule_based,,
Client - 15,REGNR2166,BRÖDERNA FRANSSON 600 T,SLÄP,ITRAFIK,Brandfordon,1977.0,,Lätt släp,,,Brandfordon,True,Släp,rule_based,,
Client - 15,REGNR2167,BR FRANSSON,SLÄP,ITRAFIK,Brandfordon,1982.0,,Lätt släp,,,Brandfordon,True,Släp,rule_based,,
Client - 15,REGNR2168,"VOLKSWAGEN, VW",PB,ITRAFIK,Fordon avsett för fler ändamål,2022.0,,Brandbil lätt,900,CADDY,Fordon avsett för fler ändamål,True,Lätt brandfordon,rule_based,,
Client - 15,REGNR2169,YAMAHA,TGHJUL,ITRAFIK,,2023.0,,???,340,YFM700 GRIZZ EPS,,False,Släp,ml_model,0.966,LogReg: Släp (97%)
Client - 15,REGNR2170,"VOLKSWAGEN, VW",LB,ITRAFIK,Skåpbil,2016.0,,Brandbil lätt,1100,CADDY,Skåpbil,True,Lätt brandfordon,rule_based,,
Client - 15,REGNR2171,MERCEDES-BENZ 906BA50,LB,ITRAFIK,Lastbil,2021.0,,Brandbil,1400,SPRINTER,Lastbil,True,Brandfordon,rule_based,,
Client - 15,REGNR2172,TRAILERGRUPPEN 0753,SLÄP,ITRAFIK,Släpkärra,1999.0,,Lätt släp,,,Släpkärra,True,Släp,rule_based,,
